ID;NAME;FORM;STREET;POSTBOX;POSTCODE;CITY;COUNTRY;REGION;TELEPHONE;CUSTTYPE;DISCOUNT;LANGU;EMAIL;WEBUSER
41;Wald & Maier;Firma;Kolping Str. 15;;66386;St. Ingbert;DE;;06894/55501-0;B;0;DE;;
42;Mueller;Firma;Ahornstr. 10;;12345;Berlin;DE;;;B;3;DE;;
43;Stolz;Firma;Veilchenstr. 5;;12345;Bremerhaven;DE;;;B;2;DE;StolzWieOskar@hallo.net;
44;KBB Schwarze Pumpe;Firma;Fasanenstr.8;;67210;Frankenthal/Pfalz;DE;;;B;15;DE;pumpe@pumpe.com;
45;SMP GmbH;Firma;Koenigsallee 5-7;;40849;Duesseldorf;DE;;;B;10;DE;;
46;AluCast GmbH;Firma;Elbstrae 9-11;;22085;Hamburg;DE;;;B;10;DE;;
47;Sedona Suppliers;;3456 Red View Way;34446;998098;Sedona;US;AZ;602-444-5678;B;0;EN;sedona@business.net;
48;SRV GmbH;Firma;Rhein-Neckar-Str. 23-25;;66666;Mannheim;DE;;;B;0;DE;;
49;Becker AG;Firma;Beeskowdamm 3;8999;10002;Berlin;DE;;030-8853-0;B;9;DE;;
50;Lampen-Markt GmbH;Firma;Auf der Schanz;;65936;Frankfurt;DE;;069-467653-0;B;5;DE;;
51;Orangenmarkt KG;Firma;Rosenstrae 11;;87123;Rosenheim;DE;;0888-86765765;B;0;DE;Orangen-und-Birnen@obst.de;
52;Motorbau GmbH;Firma;Daimler-Str. 77a;;70321;Stuttgart;DE;;;B;2;DE;;
53;Bikeland international;;Schleichheimer Str. 107;;76102;Ludwigshafen/Rhein;DE;;;B;2;DE;;
54;Becker GmbH;;Hauptstrae 127;;68301;Mannheim;DE;;;B;0;DE;;
56;Blacks AG;;Mainzer Strae 97;;66000;Frankfurt/Main;DE;;;B;0;DE;;
57;Bike Retail & Co.;;Hauptstreetse 5;;7095;Hannover;DE;;;B;0;DE;;
58;Motor constructions Ltd.;Company;Coal road  117;LS14;12345;Leeds;GB;;;B;0;EN;;
59;Parts & Pipes;;Schillerstr.5;;79001;Zuffenhausen;DE;;;B;5;DE;;
60;Harvey Parts & Co.;Firma;Hauptstr. 102;;72345;Stuttgart;DE;;;B;8;DE;;
62;SKF Kugelmeier KGaA;Firma;Georg-Schiffer-Str. 21;;97341;Schweinfurt;DE;;;B;11;DE;;
63;Reihl & Mueller;Firma;Wisperallee 59;;33504;Braunschweig;DE;;;B;11;DE;;
64;Woellner AG;Firma;Am Tiergarten 189;;52078;Aachen;DE;;;B;0;DE;;
65;Lebensmittelgrosshandel-B;Firma;Kaefertaler Str. 12;;68309;Mannheim;DE;;;B;2;DE;;
66;NoeCompany;;Titisee Ring 31;21345;23456;Freiburg;DE;;;B;2;DE;;
67;Max Grosshandel;;Industriestreetse 29;;23156;Hamburg;DE;;;B;2;DE;;
68;Lang u. Soehne;Firma;Am Koepfle;;86152;Augsburg;DE;;;B;10;DE;;
69;Egerger AG;Firma;Am Triangel;;38104;Braunschweig;DE;;;B;10;DE;;
70;Food & Stuff;;Sweetgumroad;123456;32323;Manchester;GB;;0123-765-9869;B;12;EN;EatGoodStuff@food.com;
71;Walldorf Grosshandel;Firma;Abrechnungsstr. 11;;69185;Walldorf;DE;;;B;0;DE;;
72;Sommer GmbH;Firma;Baeckerstr. 198;;68490;Dessau;DE;;;B;3;DE;;
73;Hamberger u. CO.;Firma;Dachstr. 345;;47055;Duiburg;DE;;;B;5;DE;;
74;Kreutzschmid;Firma;Calderonweg 250;;34229;Leipzig;DE;;;B;5;DE;;
75;Humpert u. Toechter;Firma;Mosbachstr. 190;;83026;Rosenheim;DE;;;B;0;DE;;
76;Meinecke;Spedition;Von-Arleger-Weg 23;;20745;Hamburg;DE;;;B;5;DE;;
77;Phunix;Firma;Landstreetse 15;;60000;Frankfurt;DE;;069 / 768890;B;0;DE;;
78;Alpha Dienstleistungen;Firma;Kurpfalz-Strae;;66666;Mannheim;DE;;;B;5;DE;;
79;Hertz Autovermietung;Firma;Gindener Str. 4;1313;65760;Eschborn;DE;;06196 / 937 - 0;B;0;DE;;
80;Eastern Supply Co.;;1000 Broad St.;;19141;Philadelphia;US;PA;215-751-1400;B;10;EN;;
81;International Container C;;Main Street;123456;19401;Chicago;US;;;B;12;EN;;
82;Metal Container Inc.;;Boardwalk Street;12345;54321;Chicago;US;;;B;12;EN;;
83;Real Estate Company USA;;Mainstreet;19414;;Philadelphia;US;PA;;B;12;EN;;
84;Schumacher Beratung;Firma;Muenchener Str. 1055;;50858;Koeln;DE;;0221 / 43654-36;B;3;DE;;
85;E & S Systems;Firma;Untere Waldstreetse 134;;61203;Reichenberg;DE;;06034 / 9302-7;B;5;DE;;
86;Schmalenbach;Firma;Randstreetse 24;;60599;Frankfurt;DE;;069 / 2546-326;B;0;DE;;
88;Brain Associates;;243 Querin Blvd;;2373;London TW3 LN2;GB;CE;;B;0;EN;;
89;Schneider AG Deutschland;;Mainzerlandstr. 1899;;60441;Frankfurt;DE;;;B;0;DE;;
90;IDES UK;Comp;;;L3B 6H7;London;GB;;;B;0;EN;;
91;Snyder Inc.;;5 AVE.;;54320;New York;US;;;B;0;EN;;
92;IDES Canada;;;;T6E 4R3;Toronto;CA;;;B;0;EN;;
94;Schneider GmbH;;Ludwigsstr.  5-7;;67001;Walldorf;DE;;;B;1;DE;;
95;Eastern Trucking & Co.;;1200 Walnut Street;;02154;Waltham;US;MA;617-721-1400;B;20;EN;;
96;HTG Komponente GmbH;;Werner Strae 12;;30132;Hannover;DE;03;0511-123456;B;15;DE;;
97;HTG Components;;4938 Locust Street;;19131;Philadelphia;US;PA;215-783-6565;B;15;EN;;
98;ABC Dienstleistungen GmbH;Firma;Am Hohenrech 87;;66666;Kaiserslautern;DE;;;B;17;DE;;
99;Moralo Ltd.;;Easter Inch;;TW0117;Bathgate, West Lothian, E;GB;;031 / 4699966;B;12;EN;;
126;Plant Ltd.;;Status Park 4;;UB3 5EY;Middlesex;GB;;081 / 384 1054;B;15;EN;;
127;Abbott Building Supplies,;;701 Lee Road;100;;Wayne;US;PA;610-725-4500;B;0;EN;;
128;International Container C;;100 Main Street;12345;;Chicago;US;;;B;0;EN;;
129;Metal Containers;;222 East Pine Street;15243;;New York;US;;;B;0;EN;;
131;Zebra Supplies;;701 Lee Road;100;;Wayne;US;PA;610-725-4500;B;5;EN;;
132;Zebra Supplies;;100 Stevens Drive;100;;Philadelphia;US;PA;610-595-4900;B;0;EN;;
133;Zebra Supplies;;Five Westbrook Corporate Cente;100;;West Chester;US;IL;708-947-3400;B;2;EN;;
134;Zebra Supplies;;6 Concourse Parkway;100;;Atlanta;US;GA;770-353-2900;B;12;EN;;
135;Zebra Supplies;;950 Tower Lane;2127;;Foster City;US;CA;415-637-1655;B;11;EN;;
136;Aztec Supplies;;950 Winter Street;100;;Waltham;US;MA;617-672-6500;B;11;EN;;
137;Farm Products Inc.;;312 Walnut Street;100;;Cincinnati;US;OH;513-977-5400;B;7;EN;;
138;Colinas Maintenance Corp.;;600 Las Colinas Blvd.;100;;Irving;US;TX;214-868-2000;B;20;EN;;
139;Schwartz Brothers;;301 Pine Street;;19341;Exton;US;PA;;B;5;EN;;
140;Destec Office Supplies;;2500 City West Blvd.;100;;Houston;US;TX;713-917-5200;B;5;EN;;
141;Irvine Plant 3000;;1801 Von Karman Ave;100;;Irvine;US;CA;714-622-2200;B;11;EN;;
142;Bellevue Plant 4000;;800 Bellevue Way;100;;Bellevue;US;WA;206-462-6395;B;7;EN;;
143;Infix Co.;;365 E. Evelyn Av.;;94221;San Mateo;US;;415 - 521 3318;B;5;EN;;
144;Pyramid Systems;;3912 N. First Av.;;94105;Santa Clara;US;;408 - 364 3224;B;0;EN;;
145;TetPak Inc.;;333 West Wacker Drive;;60606;Chicago, IL;US;;312 - 553 9200;B;0;EN;;
146;Mitch & Collins;;Divisadero Str. 143;;7925;Woodstock;ZA;;448 - 4527;B;2;EN;;
147;London Supplying Plant;;Lancaster drive 234;;20001;London;GB;;;B;3;EN;;
148;CINSA;Firma;Tettnager streetse 34;;88214;Ravensburg;DE;;;B;15;EN;;
149;D. & P. Forbes;;2303 Jackson Av.;;M4T 1E3;Toronta, Ontario;CA;;416 - 492 4411;B;20;EN;;
150;Anda El Eid;;Paddington Lane;;1200;Abu Dhabi;AE;;6067235;B;2;EN;;
151;Hatushiba co.ltd;;maruniuchi,1-2-3;;100;Chiyodaku, Tokyo;JP;;;B;5;JA;;
153;Noe Food Company;;100 Stevens Drive;477;19113;Lester;US;PA;610-555-1212;B;3;EN;;
154;Anita Acht;Frau;Asternstr. 1;;65189;Wiesbaden;DE;;;P;12;DE;;
155;Hanley Supply House;;5 Westbrook Corporate Center;60154;60154;Westchester;US;;;B;5;EN;;
156;Porto Leather Supplier;;Mainstreet 1;1111;1234;Porto;PT;;;B;15;EN;;
157;Aluminium-Recycling GmbH;;Schmelzweg 33;;43556;Wuppertal;DE;;;B;10;DE;;
158;SAPSOTA AG;;Industriepark;;32190;Nordenham;DE;;;B;10;DE;;
159;Harley Accessories Produc;;Street 1;111;1234;Porto;PT;;;B;0;EN;;
160;AC-Schulung;Firma;Neurottstr. 16;;69190;Waldorf;DE;;;B;0;DE;;
161;Becker AG;Firma;Markstr. 1;;68344;Mannheim;DE;;;B;0;DE;;
162;Schwarz Konstruktionen Gm;Firma;Bahnhofsstr. 243;;69190;Walldorf;DE;;;B;0;EN;;
163;Meyer Elektro-Installatio;;Waldstr. 23;;64321;Lorch;DE;;;B;0;DE;;
164;Hellweger;Firma;Dammallee 24;;20000;Hamburg;DE;;;B;4;DE;;
165;Chris Miller;Frau;Gartenstr. 46;;76031;Karlsruhe;DE;;0721/12 12 12;P;5;DE;;
166;Buffetti S.p.A.;Spett.le;Via D'azeglio, 8;20100;20100;Milano;IT;MI;;B;2;IT;;
167;SAP ITALIA SPA;SPETTABILE;Viale Colleoni 19;20041;20041;Agrate Brianza;IT;MI;;B;5;IT;;
168;IBM of Portugal;;Estrada do Casal Garcia, 11;245677;2700;Lisboa;PT;;;B;2;PT;;
169;Hewlett Packard;;Estrada do Picasso;789688;2800;Lisboa;PT;;;B;7;PT;;
170;Lieferanten GmbH;;Mandelweg 9;;20000;Hamburg;DE;;;B;15;DE;;
171;Kenneth K. Krediman;Firma;Hinter den Verbindlichkeiten 1;;12345;Heidelberg;DE;;;B;5;DE;;
172;John Smith;;5 Westbrook Center;60164;;Oakbrook;US;IL;;P;15;EN;;
173;Frank Abbott;;123 Main Street;92715;;Irvine;US;CA;714-622-4567;P;15;EN;;
174;Linda Smythe;;1905 Midwest Club;60521;;Oakbrook;US;IL;708-655-3137;P;0;EN;;
175;Karen Mitchell;;2135 Halsted;60656;;Chicago;US;IL;312-323-5600;P;5;EN;;
176;Douglas Olson;;9999 Hillsdale Ave.;60122;;Oak Park Heights;US;IL;;B;2;EN;;
177;Jean Cosman;;1234 Jones Ave;N0P 4K4;;Kitchener;CA;ON;;P;20;EN;;
178;Tom Peterson;;Philadelphia Square 7;;19111;Pascadenia;US;;;P;20;EN;;
179;Brower & Co;;Bachstr. 100;;12345;Pittsburg;DE;;;B;0;DE;;
180;MotoLux;Firma;Industriestr. 1;;68135;Mannheim;DE;;;B;0;DE;;
181;Rasch Gruppe 99 KFZ-Zubeh;Firma;Daimlerstr. 123;;69134;Heidelberg;DE;08;;B;2;DE;;
182;C.E.B Berlin;Firma;Jacoballe 23;8999;10001;Berlin;DE;11;030-8853-0;B;2;DE;;
183;Becker GmbH;;Hauptstrae 127;;68301;Mannheim;DE;06;;B;5;DE;;
184;Harvey Parts & C0.;;Hauptstr.;51;72345;Stuttgart;DE;08;;B;8;DE;;
185;Holmes & Sherlock;;Towerbridge 12;;12345;London NW 12;GB;;;B;9;EN;;
186;Meier & Mueller KG;Fa;Hauptstr. 123;;69101;Heidelberg;DE;;;B;8;DE;;
187;Schmidt & Co. KG;;Seitenstr. 32;;75010;Karlsruhe;DE;;;B;12;DE;;
189;Schultze AG;Firma;Nebenstr. 99;;60900;Frankfurt;DE;;;B;5;DE;;
190;Huber & Wagner;Fa;Mallinckrodstr. 66;;68088;Mannheim;DE;;;B;0;DE;;
191;BROWER & CO;;7TH Avenue;;12345;Pittsburg;DE;OH;;B;0;DE;;
192;Verleihnix;Autohaus;Am alten Hafen 11;;20001;Hamburg;DE;;;B;0;DE;;
193;Automatix;Fa;Neurottstr. 16;;69190;Walldorf;DE;;;B;5;DE;;
194;Techno Graph ltd.;;1234 West Street;;54323;Rochester;US;NY;;B;5;EN;;
195;Becker Berlin;Firma;Calvinstr. 36;;13467;Berlin;DE;11;030-8853-0;B;7;DE;Dummy162@wonderworld.com;
196;Lampen-Markt GmbH;Firma;Auf der Schanz 54;;65936;Frankfurt;DE;06;069-467653-0;B;2;DE;User163@dennerich.net;
197;Food & Stuff;Firma;Bernauer Str. 1;;80523;Muenchen;DE;09;089-120045-0;B;0;DE;;
198;Karsson AG;Firma;Lochhausenerstr. 46;;81247;Muenchen;DE;09;089-456897-0;B;8;DE;Contact165@wonderworld.com;
199;Becker AG;Firma;Industriestr. 23;;12099;Berlin;DE;11;030-982699-0;B;10;DE;User166@nightghost.com;
200;Phunix KG;Firma;Langschneise 15;;60529;Frankfurt;DE;06;069-76889-0;B;11;DE;;
201;P.S.G. GmbH;;Augsburgerstr. 345;;90431;Nuernberg;DE;;;B;0;DE;Dummy168@dennerich.net;
202;Buy & Fly Supermarkt;;Saalburgstr. 765;;60385;Frankfurt;DE;;069-465789-0;B;12;DE;User169@wonderworld.com;
203;Hitech AG;Firma;Motorstreetse 7;48524;21017;Hamburg;DE;02;040-82597-0;B;14;DE;Contact170@nightghost.com;
204;Star Markt;Firma;Ludwigstr. 44;;60549;Frankfurt;DE;06;069-345658-0;B;15;DE;;
205;Super Markets Inc.;;Hauptstr.78;;12437;Berlin;DE;11;;B;0;EN;;
206;J & P Inc.;Firma;Lindenstr. 19;;70563;Stuttgart;DE;08;0711-805964;B;0;DE;;
207;Automobile Courier Hmbg.;Firma;Am Wall 156;;21017;Hamburg;DE;02;040-2251-0;B;18;DE;;
208;Waffles and Wafers Inc.;;Am Reisenbrook 17;;22359;Hamburg;DE;02;;B;0;EN;;
209;Karpov SR.;Firma;Gorki Park 4;;111111;Moscow;RU;;;B;5;EN;User176@wonderworld.com;
210;Werk Hamburg 1000;;Altersdorferstr. 13;;22299;Hamburg;DE;02;;B;0;DE;Dummy177@dennerich.net;
211;Werk 2000 London;;Lancaster drive 435;;20001;London;GB;LO;;B;20;EN;User178@wonderworld.com;
212;Werk 1200 Dresden;;Pilnizerstr. 241;;10069;Dresden;DE;;;B;2;DE;;
213;Supermarket;;Mac Arthur Boulevard;;19113;Boston;US;;;B;5;EN;;
214;ALDO Supermarkt;Firma;Birkacher Str. 76;;70599;Stuttgart;DE;08;0711-564321-0;B;12;DE;;
215;Russian Prisunic;Firma;Gagarine Park;;150021;Moscow;RU;;;B;15;EN;;
216;Minerva GmbH;Firma;Hammerbrookstreetse 45;90 08 54;20097;Hamburg;DE;02;040-936247;B;1;DE;;
217;Christal Clear;Firma;An der Breiten Wiese 122;;30625;Hannover;DE;03;0511-347589-0;B;20;DE;;
218;Becker Koeln;Firma;Wahnheider Str. 57;;51105;Koeln;DE;05;0221-5689-100;B;13;DE;;
219;NSM Pumpentechnik AG;Firma;Deichstrae 45;;26721;Emden;DE;03;02670-8560-0;B;12;DE;;
220;FAST International;Firma;Faberstr. 45;;81373;Muenchen;DE;09;089-243567-0;B;7;DE;;
221;Superplus;;Regensburger Platz 23;;81679;Muenchen;DE;09;089-2499239;B;5;DE;;
223;NSM Marschfelden GmbH;Firma;Rastenburgerstrae;;28779;Bremen;DE;04;03266-288817;B;2;DE;;
225;Technik und Systeme GmbH;Fa.;Schwalbenweg 43;;52078;Aachen;DE;05;0241-77729;B;5;DE;;
226;A.I.T. GmbH;Firma;Landsbergerstr. 54;;50997;Koeln;DE;05;0221-9933-8700;B;2;DE;;
227;Robichaud Distributors;Ets.;120 Rue de la Paix;;89823;Lyon;FR;;;B;10;FR;;
228;British Railways;Firma;London Road;;DE2 8UP;Manchester;GB;GM;00-44-81-844887;B;16;EN;;
230;TALPA GmbH;Firma;Nackenbergerstr. 92;;30625;Hannover;DE;03;0511-403266-0;B;12;DE;;
231;Henderson Inc.;Messrs.;100 Industrial Drive;;60804;Chicago;US;IL;708-454-8723;B;12;EN;;
232;Huntington Equipment;;340 State Street;;30432;San Francisco;US;CA;415-454-9877;B;0;EN;;
234;Smart Mart Inc.;;1300 State Street;;19003;Philadelphia;US;PA;215-090-7659;B;2;EN;;
235;West Coast Computer Cente;;1400 Washington Circle;;30439;Los Angeles;US;CA;;B;5;EN;;
236;Electricit, Gaz et Eau;Ets.;21 Rue de Moselle;;92132;Issy-les-Moulineaux;FR;57;00-1-405-555-888;B;11;FR;;
237;Wheels Inc.;;100 Madison;;11012;New York;US;NY;;B;2;EN;;
238;Spokes Inc.;;1211 Bender Lane;;19150;Chicago;US;IL;;B;13;EN;;
239;Cycles Inc.;;949 5th Street;;19139;Philadelphia;US;PA;;B;7;EN;;
240;The Bikes Shop;;845 South 7th Street;;93456;Matavan;US;NJ;;B;5;EN;;
241;Sports Equipment;;678 Avenue of America;;34567;New York;US;;;B;5;EN;Contact204@nightghost.com;
242;Oesterreich. Wasserwerke;;Wendelsteinstr. 78;;6010;Innsbruck;AT;T;00-43-444-220551;B;9;DE;User205@wonderworld.com;
243;EWI Transport GmbH;Firma;Dieselstrae 14;;40235;Duesseldorf;DE;05;0211-33600-0;B;0;DE;;
244;Reserv.f.Kreditprozess;Fa;;55432;60441;Frankfurt;DE;06;;B;0;DE;;
245;IDES UK;Comp;Hyde Park 7;;L3B 6H7;London;GB;GM;;B;10;EN;;
246;Carbor GmbH;Firma;Kappelerstreetse 105;;40597;Duesseldorf;DE;05;0211-9986-0;B;5;DE;Dummy209@dennerich.net;
247;Nobil North Sea Limited;;Manchester Rd 20;;AB1 1SA;Avon;GB;AV;00-44-934-66799;B;12;EN;;
248;COMPU Tech. AG;;Glogauerstr. 187;;51069;Koeln;DE;05;0221-454321-0;B;5;DE;;
249;N.I.C. HiTech;Firma;Am Roemerhof 23;;60486;Frankfurt;DE;06;069-987654-9;B;0;DE;User212@wonderworld.com;
250;PEM GmbH;Firma;Jakobstr. 175;;90023;Nuernberg;DE;09;09256-5648-0;B;7;DE;;
251;HTG Komponente GMBH;;Werner Strae 12;;30132;Hannover;DE;03;0511-123456;B;13;DE;;
252;HTG Components;;4938 Locust Street;;19131;Philadelphia;US;PA;215-783-6565;B;4;EN;;
253;Motomarkt GmbH;Firma;Mannheimer Str. 14;;69121;Heidelberg;DE;08;;B;6;DE;Contact216@nightghost.com;
255;Alles fuer's Motorrad;Firma;Franz-Luipold Stasse 99;;80199;Muenchen;DE;;;B;6;DE;User217@wonderworld.com;
256;Hot Wheels GmbH;Firma;Bummelweg 53;;60000;Frankfurt;DE;;;B;6;DE;;
257;Synergistics Test Custome;Fa;Hauptstr. 100;;10317;Berlin;DE;11;;B;6;EN;Dummy219@dennerich.net;
258;Thomas Bush Inc.;;2800 South 25th Ave;;60153;Broadview;US;IL;(708)450-6486;B;4;EN;User220@wonderworld.com;
259;Davis Integration System;;800 Peachstreet;;19760;Atlanta;US;GA;;B;3;EN;;
260;Arrowspace;;2350 East;;90245;El Segundo;US;CA;(319)312-5518;B;2;EN;;
261;Pro Merchandising GmbH;;Casterfeldstr.;2500;68161;Mannheim;DE;08;00-49-6202123444;B;3;DE;Contact223@nightghost.com;
262;Booktree inc.;;9862 Scranton Road;;92121-3707;San Diego;US;CA;(619)517-4456;B;4;EN;User224@wonderworld.com;
263;Leading Edge Technologies;;100 Main Street;;90210;Los Angeles;US;CA;800-333-3301;B;10;EN;;
264;Hershay Foods Corporation;;100 Ocean Drive;;33131;Miami Beach;US;FL;305-555-1234;B;10;EN;Dummy226@dennerich.net;
265;Hever Industrial UK;;;;HP12 3TL;High Wycombe;GB;HA;00-170866645;B;0;EN;;
266;Damien Foods Internationa;;;;HP12 3TL;Salem;GB;HA;;B;12;EN;User229@nightghost.com;
267;IMB International Corpora;;1835 Market Street;;19001;Philadelphia;US;PA;215-419-9000;B;20;EN;Contact229@wonderworld.com;
268;IMB of USA Corporation;;456 Bishop Ave;;19018;Secane;US;PA;;B;0;EN;;
269;IMB PC Corp.;;789 Santa Monica Blvd.;;08934;Santa Monica;US;PA;;B;2;EN;User231@dennerich.net;
270;RJB International Foods C;;777 Arlington Blvd.;;46515;Elkhart;US;IN;;B;20;EN;Dummy232@nightghost.com;
271;RJB Snack Food Division;;100 Mission Ave;;64112;Kansas City;US;MO;;B;4;EN;User233@wonderworld.com;
272;RJB Health Foods Division;;4321 Buffalo Rd;;07865;Chicago;US;IL;;B;8;EN;Contact234@dennerich.net;
273;Candid International Copi;;345 Candid Dr;;33614;Tampa;US;FL;;B;15;EN;;
274;Candid Mini Copiers Divis;;9867 Midland Ave;;19078;Valley Forge;US;PA;;B;15;EN;;
275;Candid Corporate Copiers;;765 Larson Dr;;87451;San Diego;US;CA;;B;11;EN;;
276;Blip Pens Corporation;;134 Ballpoint St;;08361;Daytona;US;FL;;B;5;EN;;
277;Randy Maps Incorporated;;345 Printit Dr;;19018;Secane;US;PA;;B;8;EN;;
278;PH Desktop Computers Corp;;87 Ocean Dr.;;76090;Foster City;US;CA;;B;5;EN;;
279;PH Monitor Corporation;;4321 Callahan dr;;87878;Chicago;US;IL;;B;12;EN;;
280;PH Keyboard Corporation;;987 Syracuse Street;;45236;Boston;US;MA;;B;17;EN;;
281;Infix Co.;;365 E. Evelyn Av.;;94221;San Mateo;US;;415 - 521 3318;B;17;EN;;
282;Roberta Energy Ltd;;;;T2P 4K9;Calgary;CA;NW;00-141777754;B;18;EN;;
283;Eastland Trade;;;;V6E 3K9;Vancouver;CA;NF;00-1706443219;B;18;EN;;
285;Compu Tech;;10001 Bay Avenue;;90844;San Fransisco;US;CA;;B;18;EN;;
286;N.I.C. HiTech;;307 North Business Avenue;;90654;Palo Alto;US;CA;;B;19;EN;;
287;PAE, Inc;;3443 German Town Pike;;19001;Philadelphia;US;PA;;B;19;EN;;
288;British Airways;;23 Picadilly Street;;GB2 8UE;London;GB;LO;1-256523-1;B;20;EN;;
289;Helmle;Mr;572727hyh;;60611;chicago;US;;;P;20;EN;;
290;Hallmann Anlagenbau GmbH;Firma;Wilhelmstrae 19;;59067;Hamm;DE;05;02381-34343-0;B;0;DE;;
292;Flatter & Asche AG;Firma;Daimlerstr. 35;;40235;Duesseldorf;DE;05;0211-34567-0;B;0;DE;;
293;Hitech AG;;Robert-Bosch-Str. 1;;12345;Berlin;DE;;;B;2;DE;;
296;Biker GmbH;Firma;Neckarstr. 96;;69121;Heidelberg;DE;08;06223-697851;B;5;DE;;
